"variable","libelle","dimension","type","origine","minimum","maximum","modalites_observees","n_manquants","description"
"id_enseignant","Identifiant unique de l'enseignant fictif",NA,"character","questionnaire_scores.rds",NA,NA,"ENS000048 | ENS000059 | ENS000063 | ENS000065 | ENS000081 | ENS000122 | ENS000161 | ENS000176 | ENS000187 | ENS000211 | ENS000442 | ENS000444 | ENS000472 | ENS000642 | ENS000745 | ENS000784 | ENS000811 | ENS000953 | ENS000963 | ENS001092 | ENS001127 | ENS001136 | ENS001189 | ENS001240 | ENS001241 | ENS001339 | ENS001356 | ENS001372 | ENS001375 | ENS001425 | ENS001432 | ENS001448 | ENS001587 | ENS001616 | ENS001686 | ENS001699 | ENS001712 | ENS001748 | ENS001968 | ENS001985 | ENS002000 | ENS002014 | ENS002094 | ENS002098 | ENS002228 | ENS002269 | ENS002291 | ENS002311 | ENS002327 | ENS002475 | ENS002533 | ENS002576 | ENS002621 | ENS002627 | ENS002978 | ENS003052 | ENS003115 | ENS003213 | ENS003233 | ENS003235 | ENS003389 | ENS003434 | ENS003450 | ENS003472 | ENS003489 | ENS003628 | ENS003761 | ENS003817 | ENS003837 | ENS003865 | ENS003884 | ENS003903 | ENS003941 | ENS004069 | ENS004136 | ENS004243 | ENS004262 | ENS004276 | ENS004345 | ENS004375 | ENS004433 | ENS004480 | ENS004676 | ENS004756 | ENS004760 | ENS004813 | ENS004815 | ENS004862 | ENS004904 | ENS004959 | ENS005203 | ENS005294 | ENS005338 | ENS005472 | ENS005477 | ENS005490 | ENS005496 | ENS005549 | ENS005843 | ENS005913 | ENS005969 | ENS006001 | ENS006161 | ENS006169 | ENS006188 | ENS006234 | ENS006299 | ENS006316 | ENS006321 | ENS006400 | ENS006414 | ENS006589 | ENS006638 | ENS006750 | ENS006858 | ENS006911 | ENS006964 | ENS007038 | ENS007117 | ENS007186 | ENS007221 | ENS007249 | ENS007251 | ENS007256 | ENS007266 | ENS007405 | ENS007505 | ENS007587 | ENS007624 | ENS007625 | ENS007629 | ENS007740 | ENS007945 | ENS007958 | ENS008018 | ENS008019 | ENS008100 | ENS008130 | ENS008139 | ENS008183 | ENS008237 | ENS008256 | ENS008292 | ENS008304 | ENS008552 | ENS008587 | ENS008618 | ENS008641 | ENS008672 | ENS008701 | ENS008802 | ENS008834 | ENS008861 | ENS008885 | ENS009018 | ENS009140 | ENS009162 | ENS009329 | ENS009409 | ENS009431 | ENS009500 | ENS009537 | ENS009657 | ENS009864 | ENS009880 | ENS009986 | ENS010128 | ENS010181 | ENS010197 | ENS010247 | ENS010269 | ENS010272 | ENS010377 | ENS010460 | ENS010566 | ENS010586 | ENS010685 | ENS010790 | ENS010802 | ENS010819 | ENS010883 | ENS010887 | ENS010933 | ENS010946 | ENS011018 | ENS011079 | ENS011108 | ENS011221 | ENS011341 | ENS011382 | ENS011414 | ENS011462 | ENS011520 | ENS011674 | ENS011710 | ENS011858 | ENS011860 | ENS011868 | ENS011979 | ENS011994 | ENS012006 | ENS012051 | ENS012155 | ENS012315 | ENS012382 | ENS012442 | ENS012574 | ENS012626 | ENS012642 | ENS012647 | ENS012767 | ENS012796 | ENS012858 | ENS012905 | ENS013032 | ENS013073 | ENS013139 | ENS013162 | ENS013217 | ENS013368 | ENS013415 | ENS013542 | ENS013553 | ENS013610 | ENS013717 | ENS013738 | ENS014142 | ENS014200 | ENS014231 | ENS014354 | ENS014390 | ENS014513 | ENS014585 | ENS014670 | ENS014676 | ENS014773 | ENS014820 | ENS014835 | ENS014849 | ENS014963 | ENS015077 | ENS015101 | ENS015117 | ENS015339 | ENS015477 | ENS015508 | ENS015785 | ENS015787 | ENS015941 | ENS016032 | ENS016038 | ENS016083 | ENS016102 | ENS016200 | ENS016292 | ENS016304 | ENS016344 | ENS016348 | ENS016362 | ENS016551 | ENS016790 | ENS016860 | ENS016873 | ENS016907 | ENS016946 | ENS016956 | ENS017025 | ENS017078 | ENS017133 | ENS017189 | ENS017199 | ENS017338 | ENS017389 | ENS017413 | ENS017494 | ENS017496 | ENS017573 | ENS017593 | ENS017732 | ENS017813 | ENS017832 | ENS017855 | ENS017876 | ENS017883 | ENS017904 | ENS018005 | ENS018018 | ENS018085 | ENS018093 | ENS018158 | ENS018188 | ENS018290 | ENS018312 | ENS018331 | ENS018340 | ENS018400 | ENS018760 | ENS018839 | ENS019038 | ENS019179 | ENS019266 | ENS019282 | ENS019344 | ENS019356 | ENS019525 | ENS019538 | ENS019550 | ENS019575 | ENS019586 | ENS019764 | ENS019854 | ENS019900 | ENS019969 | ENS020000 | ENS020014 | ENS020063 | ENS020112 | ENS020118 | ENS020154 | ENS020191 | ENS020240 | ENS020273 | ENS020298 | ENS020362 | ENS020443 | ENS020516 | ENS020586 | ENS020611 | ENS020661 | ENS020670 | ENS020771 | ENS020786 | ENS020787 | ENS020791 | ENS020805 | ENS020810 | ENS020811 | ENS020832 | ENS020833 | ENS020848 | ENS020876 | ENS020884 | ENS020933 | ENS020935 | ENS021017 | ENS021057 | ENS021118 | ENS021161 | ENS021223 | ENS021327 | ENS021366 | ENS021411 | ENS021463 | ENS021544 | ENS021579 | ENS021824 | ENS021856 | ENS021961 | ENS022055 | ENS022062 | ENS022111 | ENS022301 | ENS022308 | ENS022367 | ENS022417 | ENS022477 | ENS022530 | ENS022539 | ENS022568 | ENS022586 | ENS022723 | ENS022811 | ENS022818 | ENS022903 | ENS022984 | ENS023024 | ENS023041 | ENS023101 | ENS023103 | ENS023105 | ENS023150 | ENS023161 | ENS023183 | ENS023226 | ENS023268 | ENS023280 | ENS023386 | ENS023390 | ENS023410 | ENS023418 | ENS023488 | ENS023638 | ENS023752 | ENS023773 | ENS023794 | ENS023815 | ENS023823 | ENS023931 | ENS024010 | ENS024088 | ENS024091 | ENS024105 | ENS024111 | ENS024122 | ENS024483 | ENS024502 | ENS024543 | ENS024551 | ENS024703 | ENS024765 | ENS024786 | ENS024795 | ENS024800 | ENS024945 | ENS025510 | ENS025564 | ENS025587 | ENS025626 | ENS025641 | ENS025797 | ENS025871 | ENS025997 | ENS026015 | ENS026028 | ENS026049 | ENS026451 | ENS026521 | ENS026535 | ENS026538 | ENS026646 | ENS026650 | ENS026735 | ENS026751 | ENS026762 | ENS026793 | ENS027010 | ENS027018 | ENS027086 | ENS027217 | ENS027261 | ENS027330 | ENS027365 | ENS027453 | ENS027570 | ENS027625 | ENS027633 | ENS027684 | ENS027762 | ENS027790 | ENS027942 | ENS028024 | ENS028104 | ENS028120 | ENS028148 | ENS028190 | ENS028269 | ENS028270 | ENS028317 | ENS028367 | ENS028463 | ENS028557 | ENS028584 | ENS028695 | ENS028706 | ENS028884 | ENS028914 | ENS028922 | ENS028943 | ENS029031 | ENS029096 | ENS029174 | ENS029300 | ENS029352 | ENS029360 | ENS029432 | ENS029452 | ENS029461 | ENS029479 | ENS029767 | ENS029798 | ENS029863 | ENS029938 | ENS029991 | ENS030066 | ENS030071 | ENS030142 | ENS030184 | ENS030254 | ENS030287 | ENS030288 | ENS030305 | ENS030327 | ENS030366 | ENS030392 | ENS030410 | ENS030528 | ENS030593 | ENS030645 | ENS030824 | ENS030838 | ENS030894 | ENS030924 | ENS031236 | ENS031255 | ENS031349 | ENS031399 | ENS031445 | ENS031529 | ENS031613 | ENS031683 | ENS031838 | ENS032083 | ENS032086 | ENS032109 | ENS032388 | ENS032575 | ENS032605 | ENS032634 | ENS032649 | ENS032669 | ENS032788 | ENS032826 | ENS032918 | ENS033016 | ENS033067 | ENS033117 | ENS033163 | ENS033259 | ENS033291 | ENS033300 | ENS033402 | ENS033405 | ENS033420 | ENS033503 | ENS033538 | ENS033543 | ENS033568 | ENS033633 | ENS033715 | ENS033795 | ENS033918 | ENS034097 | ENS034153 | ENS034194 | ENS034384 | ENS034539 | ENS034545 | ENS034591 | ENS034770 | ENS034984 | ENS035056 | ENS035063 | ENS035139 | ENS035162 | ENS035207 | ENS035299 | ENS035361 | ENS035398 | ENS035536 | ENS035591 | ENS035638 | ENS035708 | ENS035730 | ENS035734 | ENS035750 | ENS035907 | ENS036065 | ENS036110 | ENS036164 | ENS036193 | ENS036290 | ENS036428 | ENS036430 | ENS036462 | ENS036633 | ENS036825 | ENS036829 | ENS036843 | ENS036945 | ENS037053 | ENS037099 | ENS037132 | ENS037200 | ENS037210 | ENS037241 | ENS037425 | ENS037484 | ENS037535 | ENS037622 | ENS037733 | ENS037744 | ENS037930 | ENS037944 | ENS038193 | ENS038221 | ENS038252 | ENS038325 | ENS038385 | ENS038591 | ENS038709 | ENS038919 | ENS039039 | ENS039052 | ENS039057 | ENS039071 | ENS039086 | ENS039229 | ENS039242 | ENS039255 | ENS039350 | ENS039465 | ENS039511 | ENS039561 | ENS039574 | ENS039578 | ENS039605 | ENS039741 | ENS039792 | ENS039814 | ENS039953 | ENS039977 | ENS039991 | ENS040015 | ENS040176 | ENS040188 | ENS040235 | ENS040300 | ENS040513 | ENS040586 | ENS040898 | ENS041067 | ENS041097 | ENS041150 | ENS041208 | ENS041303 | ENS041309 | ENS041346 | ENS041350 | ENS041389 | ENS041398 | ENS041543 | ENS041627 | ENS041699 | ENS041708 | ENS041744 | ENS041745 | ENS042014 | ENS042175 | ENS042366 | ENS042415 | ENS042427 | ENS042452 | ENS042487 | ENS042494 | ENS042551 | ENS042615 | ENS042645 | ENS042651 | ENS042694 | ENS042841 | ENS042853 | ENS042864 | ENS042893 | ENS043000 | ENS043103 | ENS043127 | ENS043233 | ENS043332 | ENS043353 | ENS043378 | ENS043427 | ENS043488 | ENS043514 | ENS043614 | ENS043622 | ENS043680 | ENS043776 | ENS043781 | ENS043806 | ENS043889 | ENS043931 | ENS043968 | ENS044104 | ENS044140 | ENS044152 | ENS044196 | ENS044247 | ENS044261 | ENS044389 | ENS044390 | ENS044626 | ENS044667 | ENS044674 | ENS044709 | ENS044780 | ENS044783 | ENS044800 | ENS044933 | ENS044960 | ENS045041 | ENS045082 | ENS045108 | ENS045144 | ENS045167 | ENS045275 | ENS045302 | ENS045326 | ENS045333 | ENS045429 | ENS045434 | ENS045548 | ENS045579 | ENS045629 | ENS045987 | ENS046037 | ENS046057 | ENS046085 | ENS046211 | ENS046249 | ENS046342 | ENS046354 | ENS046416 | ENS046505 | ENS046559 | ENS046572 | ENS046635 | ENS046684 | ENS046774 | ENS046928 | ENS046987 | ENS047056 | ENS047092 | ENS047131 | ENS047261 | ENS047547 | ENS047640 | ENS047779 | ENS047810 | ENS047893 | ENS047911 | ENS048117 | ENS048158 | ENS048203 | ENS048208 | ENS048237 | ENS048321 | ENS048442 | ENS048479 | ENS048668 | ENS048813 | ENS048865 | ENS048911 | ENS048915 | ENS048987 | ENS048999 | ENS049021 | ENS049044 | ENS049136 | ENS049165 | ENS049179 | ENS049193 | ENS049194 | ENS049527 | ENS049572 | ENS049625 | ENS049636 | ENS049827 | ENS049941 | ENS050008 | ENS050030 | ENS050081 | ENS050190 | ENS050204 | ENS050425 | ENS050444 | ENS050447 | ENS050454 | ENS050481 | ENS050529 | ENS050667 | ENS050727 | ENS050740 | ENS050741 | ENS050750 | ENS050798 | ENS050808 | ENS050830 | ENS050855 | ENS050886 | ENS051003 | ENS051089 | ENS051100 | ENS051114 | ENS051257 | ENS051339 | ENS051436 | ENS051444 | ENS051482 | ENS051548 | ENS051564 | ENS051568 | ENS051574 | ENS051651 | ENS051677 | ENS051754 | ENS051792 | ENS051863 | ENS051871 | ENS051888 | ENS051910 | ENS052143 | ENS052172 | ENS052358 | ENS052387 | ENS052405 | ENS052589 | ENS052609 | ENS052623 | ENS052638 | ENS052650 | ENS052678 | ENS052719 | ENS052722 | ENS052781 | ENS052787 | ENS052891 | ENS052958 | ENS053021 | ENS053063 | ENS053201 | ENS053267 | ENS053286 | ENS053306 | ENS053320 | ENS053721 | ENS053729 | ENS053836 | ENS053992 | ENS054004 | ENS054060 | ENS054203 | ENS054243 | ENS054345 | ENS054397 | ENS054516 | ENS054731 | ENS054734 | ENS054861 | ENS054995 | ENS055237 | ENS055417 | ENS055474 | ENS055714 | ENS055733 | ENS055744 | ENS055755 | ENS055795 | ENS055799 | ENS055823 | ENS055884 | ENS055891 | ENS055963 | ENS056177 | ENS056317 | ENS056392 | ENS056591 | ENS056617 | ENS056625 | ENS056654 | ENS056664 | ENS056670 | ENS056734 | ENS056845 | ENS056958 | ENS057059 | ENS057108 | ENS057127 | ENS057226 | ENS057227 | ENS057244 | ENS057267 | ENS057316 | ENS057395 | ENS057464 | ENS057485 | ENS057521 | ENS057768 | ENS057876 | ENS058002 | ENS058038 | ENS058082 | ENS058088 | ENS058166 | ENS058249 | ENS058326 | ENS058401 | ENS058508 | ENS058592 | ENS058609 | ENS058611 | ENS058635 | ENS058670 | ENS058813 | ENS058870 | ENS058908 | ENS058916 | ENS058945 | ENS058962 | ENS059095 | ENS059099 | ENS059286 | ENS059332 | ENS059365 | ENS059373 | ENS059441 | ENS059606 | ENS059653 | ENS059674 | ENS059728 | ENS059747 | ENS059899 | ENS060083 | ENS060101 | ENS060117 | ENS060256 | ENS060329 | ENS060383 | ENS060391 | ENS060418 | ENS060652 | ENS060846 | ENS060961 | ENS061089 | ENS061092 | ENS061187 | ENS061257 | ENS061333 | ENS061361 | ENS061723 | ENS061940 | ENS061961 | ENS062269 | ENS062280 | ENS062291 | ENS062303 | ENS062390 | ENS062460 | ENS062476 | ENS062548 | ENS062606 | ENS062607 | ENS062631 | ENS062785 | ENS062805 | ENS062822 | ENS062870 | ENS062881 | ENS062894 | ENS062907 | ENS063104 | ENS063107 | ENS063199 | ENS063262 | ENS063282 | ENS063283 | ENS063532 | ENS063593 | ENS063600 | ENS063609 | ENS063618 | ENS063876 | ENS063907 | ENS064074 | ENS064247 | ENS064526 | ENS064547 | ENS064574 | ENS064668 | ENS064828 | ENS064939 | ENS065200 | ENS065222 | ENS065383 | ENS065463 | ENS065494 | ENS065496 | ENS065607 | ENS065778 | ENS065870 | ENS065895 | ENS065899 | ENS065941 | ENS065976 | ENS066014 | ENS066055 | ENS066088 | ENS066126 | ENS066252 | ENS066342 | ENS066384 | ENS066399 | ENS066402 | ENS066483 | ENS066639 | ENS066762 | ENS066958 | ENS067102 | ENS067166 | ENS067362 | ENS067371 | ENS067421 | ENS067424 | ENS067480 | ENS067523 | ENS067700 | ENS067821 | ENS068036 | ENS068044 | ENS068047 | ENS068055 | ENS068098 | ENS068231 | ENS068285 | ENS068318 | ENS068340 | ENS068397 | ENS068436 | ENS068583 | ENS068659 | ENS068679 | ENS068697 | ENS068712 | ENS068738 | ENS068791 | ENS068850 | ENS068865 | ENS068925 | ENS068966 | ENS068988 | ENS069013 | ENS069046 | ENS069099 | ENS069120 | ENS069170 | ENS069192 | ENS069417 | ENS069439 | ENS069512 | ENS069585 | ENS069752 | ENS069825 | ENS069942 | ENS070016 | ENS070028 | ENS070036 | ENS070039 | ENS070045 | ENS070046 | ENS070110 | ENS070184 | ENS070282 | ENS070293 | ENS070361 | ENS070368 | ENS070369 | ENS070388 | ENS070486 | ENS070495 | ENS070687 | ENS070733 | ENS070817 | ENS071017 | ENS071189 | ENS071252 | ENS071337 | ENS071379 | ENS071480 | ENS071481 | ENS071504 | ENS071615 | ENS071620 | ENS071742 | ENS071792 | ENS071852 | ENS071899 | ENS071918 | ENS072028 | ENS072035 | ENS072069 | ENS072164 | ENS072254 | ENS072339 | ENS072373 | ENS072377 | ENS072498 | ENS072572 | ENS072829 | ENS072852 | ENS072939 | ENS072943 | ENS072995 | ENS073004 | ENS073060 | ENS073180 | ENS073186 | ENS073241 | ENS073346 | ENS073634 | ENS074151 | ENS074157 | ENS074445 | ENS074529 | ENS074565 | ENS074622 | ENS074631 | ENS074677 | ENS074728 | ENS074763 | ENS074852 | ENS074872 | ENS074930 | ENS074978 | ENS075051 | ENS075063 | ENS075069 | ENS075083 | ENS075101 | ENS075153 | ENS075311 | ENS075457 | ENS075490 | ENS075491 | ENS075506 | ENS075512 | ENS075590 | ENS075661 | ENS075671 | ENS075712 | ENS075813 | ENS075873 | ENS075909 | ENS075950 | ENS075987 | ENS076109 | ENS076131 | ENS076314 | ENS076397 | ENS076405 | ENS076550 | ENS076562 | ENS076645 | ENS076745 | ENS076882 | ENS076885 | ENS077005 | ENS077095 | ENS077171 | ENS077476 | ENS077480 | ENS077574 | ENS077584 | ENS077592 | ENS077609 | ENS077634 | ENS077675 | ENS077711 | ENS077738 | ENS077858 | ENS077886 | ENS078023 | ENS078027 | ENS078159 | ENS078238 | ENS078326 | ENS078350 | ENS078386 | ENS078411 | ENS078412 | ENS078467 | ENS078630 | ENS078633 | ENS078663 | ENS078723 | ENS078761 | ENS078828 | ENS079140 | ENS079178 | ENS079203 | ENS079224 | ENS079298 | ENS079604 | ENS079666 | ENS079724 | ENS079985 | ENS080062 | ENS080097 | ENS080173 | ENS080175 | ENS080194 | ENS080267 | ENS080275 | ENS080287 | ENS080301 | ENS080324 | ENS080354 | ENS080451 | ENS080636 | ENS080739 | ENS080763 | ENS080775 | ENS080861 | ENS080918 | ENS081013 | ENS081164 | ENS081279 | ENS081376 | ENS081384 | ENS081467 | ENS081484 | ENS081488 | ENS081530 | ENS081671 | ENS081737 | ENS081755 | ENS081914 | ENS081979 | ENS082009 | ENS082127 | ENS082164 | ENS082208 | ENS082309 | ENS082332 | ENS082502 | ENS082519 | ENS082620 | ENS082632 | ENS082644 | ENS082650 | ENS082713 | ENS082823 | ENS082838 | ENS082852 | ENS082939 | ENS083073 | ENS083082 | ENS083145 | ENS083191 | ENS083289 | ENS083306 | ENS083571 | ENS083681 | ENS083683 | ENS083733 | ENS083737 | ENS083762 | ENS084097 | ENS084109 | ENS084167 | ENS084281 | ENS084401 | ENS084521 | ENS084531 | ENS084581 | ENS084589 | ENS084963 | ENS084989 | ENS084990 | ENS085012 | ENS085115 | ENS085341 | ENS085401 | ENS085522 | ENS085599 | ENS085701 | ENS085721 | ENS085753 | ENS085860 | ENS085866 | ENS085920 | ENS086047 | ENS086119 | ENS086183 | ENS086281 | ENS086327 | ENS086457 | ENS086534 | ENS086539 | ENS086570 | ENS086624 | ENS086632 | ENS086641 | ENS086653 | ENS086661 | ENS086709 | ENS086902 | ENS086917 | ENS086953 | ENS086954 | ENS087017 | ENS087030 | ENS087032 | ENS087059 | ENS087119 | ENS087193 | ENS087202 | ENS087283 | ENS087368 | ENS087418 | ENS087684 | ENS087837 | ENS088083 | ENS088098 | ENS088192 | ENS088436 | ENS088454 | ENS088510 | ENS088677 | ENS088773 | ENS089121 | ENS089194 | ENS089213 | ENS089222 | ENS089343 | ENS089370 | ENS089372 | ENS089373 | ENS089409 | ENS089479 | ENS089480 | ENS089499 | ENS089684 | ENS089952 | ENS089980 | ENS090006 | ENS090050 | ENS090095 | ENS090100 | ENS090145 | ENS090259 | ENS090278 | ENS090284 | ENS090313 | ENS090342 | ENS090374 | ENS090425 | ENS090502 | ENS090521 | ENS090571 | ENS090587 | ENS090715 | ENS090727 | ENS090760 | ENS090812 | ENS090851 | ENS090866 | ENS090883 | ENS090943 | ENS090946 | ENS090974 | ENS091113 | ENS091141 | ENS091176 | ENS091252 | ENS091293 | ENS091299 | ENS091379 | ENS091405 | ENS091454 | ENS091581 | ENS091672 | ENS091695 | ENS091706 | ENS091764 | ENS091848 | ENS091950 | ENS091983 | ENS092054 | ENS092181 | ENS092248 | ENS092304 | ENS092307 | ENS092472 | ENS092506 | ENS092637 | ENS092639 | ENS092708 | ENS092763 | ENS092764 | ENS092962 | ENS092989 | ENS093001 | ENS093093 | ENS093157 | ENS093291 | ENS093324 | ENS093371 | ENS093424 | ENS093441 | ENS093482 | ENS093515 | ENS093517 | ENS093580 | ENS093684 | ENS093762 | ENS093765 | ENS093802 | ENS093839 | ENS093854 | ENS093925 | ENS093926 | ENS093986 | ENS094036 | ENS094105 | ENS094207 | ENS094212 | ENS094305 | ENS094414 | ENS094438 | ENS094478 | ENS094503 | ENS094542 | ENS094558 | ENS094572 | ENS094673 | ENS094698 | ENS094737 | ENS094741 | ENS094787 | ENS094788 | ENS094980 | ENS095090 | ENS095126 | ENS095162 | ENS095254 | ENS095260 | ENS095274 | ENS095307 | ENS095372 | ENS095424 | ENS095472 | ENS095473 | ENS095482 | ENS095518 | ENS095573 | ENS095616 | ENS095621 | ENS095687 | ENS096032 | ENS096131 | ENS096152 | ENS096234 | ENS096247 | ENS096340 | ENS096350 | ENS096410 | ENS096657 | ENS096748 | ENS096760 | ENS096891 | ENS096901 | ENS096918 | ENS096923 | ENS096995 | ENS097003 | ENS097125 | ENS097168 | ENS097172 | ENS097417 | ENS097439 | ENS097455 | ENS097529 | ENS097548 | ENS097610 | ENS097626 | ENS097696 | ENS097722 | ENS097771 | ENS097784 | ENS097889 | ENS097912 | ENS097920 | ENS097962 | ENS098014 | ENS098053 | ENS098088 | ENS098123 | ENS098182 | ENS098220 | ENS098321 | ENS098505 | ENS098572 | ENS098583 | ENS098620 | ENS098693 | ENS098791 | ENS098814 | ENS098911 | ENS098960 | ENS099056 | ENS099058 | ENS099215 | ENS099257 | ENS099266 | ENS099298 | ENS099372 | ENS099611 | ENS099962 | ENS099963 | ENS099996",0,"Variable conservée sans transformation ; données simulées."
"degre","Degré d'enseignement",NA,"character","questionnaire_scores.rds",NA,NA,"Collège | Premier degré",0,"Variable conservée sans transformation ; données simulées."
"sexe","Sexe simulé",NA,"character","questionnaire_scores.rds",NA,NA,"Femme | Homme",0,"Variable conservée sans transformation ; données simulées."
"age","Âge en années",NA,"integer","questionnaire_scores.rds",NA,NA,NA,0,"Variable conservée sans transformation ; données simulées."
"anciennete","Ancienneté professionnelle en années",NA,"integer","questionnaire_scores.rds",NA,NA,NA,0,"Variable conservée sans transformation ; données simulées."
"anciennete_classe","Classe d'ancienneté",NA,"integer","questionnaire_scores.rds",NA,NA,NA,0,"Variable conservée sans transformation ; données simulées."
"secteur","Secteur d'enseignement",NA,"character","questionnaire_scores.rds",NA,NA,"Privé sous contrat | Public",0,"Variable conservée sans transformation ; données simulées."
"education_prioritaire","Éducation prioritaire",NA,"character","questionnaire_scores.rds",NA,NA,"Hors EP | REP | REP+",0,"Variable conservée sans transformation ; données simulées."
"territoire","Type de territoire",NA,"character","questionnaire_scores.rds",NA,NA,"Périurbain | Rural | Urbain",0,"Variable conservée sans transformation ; données simulées."
"effectif_classe","Effectif de la classe",NA,"integer","questionnaire_scores.rds",NA,NA,NA,0,"Variable conservée sans transformation ; données simulées."
