"variable","libelle","bloc","dimension","type","modalites","minimum","maximum","score_associe","item_inverse","obligatoire","description"
"EXP01","J'annonce aux élèves ce qu'ils doivent apprendre au début d'une séance.","PRATIQUES","EXP","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_EXP","FALSE","FALSE","Item proposé de enseignement explicite. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"EXP02","Je montre aux élèves comment réaliser une tâche nouvelle.","PRATIQUES","EXP","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_EXP","FALSE","FALSE","Item proposé de enseignement explicite. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"EXP03","J'explicite mon raisonnement lorsque je résous un exemple devant les élèves.","PRATIQUES","EXP","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_EXP","FALSE","FALSE","Item proposé de enseignement explicite. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"EXP04","Je décompose une tâche complexe en étapes accessibles aux élèves.","PRATIQUES","EXP","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_EXP","FALSE","FALSE","Item proposé de enseignement explicite. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"EXP05","Je guide les premiers essais des élèves avant de les laisser travailler seuls.","PRATIQUES","EXP","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_EXP","FALSE","FALSE","Item proposé de enseignement explicite. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"EXP06","Je vérifie la compréhension des élèves avant de passer à une nouvelle étape.","PRATIQUES","EXP","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_EXP","FALSE","FALSE","Item proposé de enseignement explicite. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"DIF01","J'adapte les aides proposées aux difficultés repérées chez les élèves.","PRATIQUES","DIF","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_DIF","FALSE","FALSE","Item proposé de différenciation pédagogique. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"DIF02","Je propose des tâches de difficulté différente selon les besoins des élèves.","PRATIQUES","DIF","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_DIF","FALSE","FALSE","Item proposé de différenciation pédagogique. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"DIF03","Je fais varier le temps accordé à une tâche selon les besoins des élèves.","PRATIQUES","DIF","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_DIF","FALSE","FALSE","Item proposé de différenciation pédagogique. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"DIF04","Je constitue des groupes temporaires à partir des besoins d'apprentissage des élèves.","PRATIQUES","DIF","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_DIF","FALSE","FALSE","Item proposé de différenciation pédagogique. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
