"item","dimension_theorique","F1","F2","F3","F4","F5","F6","F7","F8","avertissement"
"EXP01","EXP",-0.0171879650909746,0.0376596414583718,-0.0890254575631343,0.00949608459269235,0.0636082894657088,0.00563082952504113,0.0468228272345228,0.513230903531759,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"EXP02","EXP",0.0101130088516063,-0.0092432129346958,0.0190724711872435,-0.0309937846762567,-0.0145378717767449,0.0325319487960372,-0.00813582627868137,0.797015283612249,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"EXP03","EXP",0.0611367536291798,-0.0206226151437171,0.102154111828023,0.0460760216452188,-0.0306712475446705,-0.0106339839777902,-0.0657516165891992,0.558992771335985,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"EXP04","EXP",0.0305855580266634,0.0559671820529727,-0.0110500246888885,0.00362889484279112,0.00449819870795891,0.0119540499762284,0.0331916544159876,0.489210098739527,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"EXP05","EXP",-0.0263738480740285,-0.00379562558541009,-0.00776382390887338,0.0310955680404356,0.0547904659935163,-0.0354043786598443,0.0701738466000785,0.658565470682488,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"EXP06","EXP",0.00681599068910346,0.055185431319728,-0.0501965535813058,0.0316882752906849,-0.0226665366788854,-0.0205333011441399,0.0274402491189372,0.485834381599775,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"DIF01","DIF",-0.0167641940049272,0.0148889620914541,0.535790659381503,-0.0356041596608763,0.017877675142915,-0.0175307450243007,-0.00934545721219361,0.0466964758475619,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"DIF02","DIF",0.000477951424492844,-0.0150325895479278,0.744845862600701,0.0409412210336563,0.0173207348143686,-0.0311434453375866,0.00196842526581237,0.0256981474781725,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"DIF03","DIF",0.00701790547731554,-0.0168977300880578,0.740480596475205,0.0171873162287824,0.0152961626941186,0.0231931244933854,0.0326684003707756,-0.0168323580575965,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"DIF04","DIF",-0.00393130381754105,-0.00908488318261885,0.570117166781258,0.0160574706013327,-0.00458380391488641,0.0223738983489833,-0.0135030103059139,0.0261008229466303,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"DIF05","DIF",0.0172922870514736,0.0521757146970181,0.751098868447041,-0.029597909757771,-0.0264441712378408,0.0214847133341441,-0.0105088091107385,-0.00591011272269137,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"DIF06","DIF",-0.0215984968181338,-0.0086194877137653,0.591228308205774,0.0296336303778332,0.0304308599896788,-0.018321124323803,0.0554016173447581,-0.0431925897095354,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"EVA01","EVA",0.0261837882408498,0.0274132728518754,-0.0230870594917609,-0.00953212943494394,0.0169797832713912,0.020497743250765,0.670668073401475,-0.050459352573571,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"EVA02","EVA",0.0217660067670036,0.00570507331282126,0.00530887782212131,0.00576820933844627,-0.0430564998805584,0.0348868382574829,0.651322269906697,0.0784575709410056,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"EVA03","EVA",0.0520326225818036,0.0367644425803954,0.0432336886038502,0.0210815348112525,0.0089126671546495,-0.0341958911203566,0.518546015966656,0.0184454956700804,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"EVA04","EVA",-0.000922820671147268,0.00412847873214014,-0.00367856010604901,0.0092138393415313,0.00719644118315991,-0.0260410623834388,0.592926351053853,0.0234533128105407,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"EVA05","EVA",-0.0357541842950129,-0.0101555978288678,0.0736647372895453,-0.0292927469103584,-0.0145475710621108,0.0355980469823223,0.658175054846133,0.0346188309414411,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"EVA06","EVA",0.000214363347429119,-0.0291946981853373,-0.00263127820066913,0.0469224177012382,0.054176930673592,-0.0233518897372312,0.59954110766699,-0.0258561655368053,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"GCL01","GCL",0.0152862902090582,-0.0132843833488747,-0.00243779573439098,0.0275083608223382,0.691703947618851,0.015613639774518,0.0149939559861355,0.00327448488175622,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"GCL02","GCL",-0.0140021374501946,0.0285868073293361,-0.00811650249881355,0.00744828911866939,0.803995410995133,-0.00588573758170977,0.00872832084563451,0.0235062533441834,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"GCL03","GCL",0.0134883119917517,-0.0011007658176794,0.0129461008146971,-0.0242922802334432,0.586475086588828,0.022960314868362,0.0716556861796968,-0.0665751652869058,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"GCL04","GCL",0.00597447976228305,-0.017992547694171,0.0299630078257243,-0.0314219466255113,0.654367846710184,0.0587053048397493,-0.0764514335296188,0.0310053683086782,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"GCL05","GCL",-0.00162089624465339,0.0235927702924312,-0.0062456839388975,-0.00184927031478912,0.583988364917068,0.0149830636647768,0.0115604578504051,0.00826407913662747,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"GCL06","GCL",0.0339410041639086,-0.0194445781432403,0.0219677852268412,0.00906388364238699,0.609165832394053,-0.078455437968513,-0.016155711746029,-0.0162409430183238,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"COL01","COL",-0.0228777544316374,0.0355882549532122,0.0531316667706678,-0.0593312732624395,-0.0420654676500366,0.517217269612188,0.0402707608057686,-0.0227619186632508,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"COL02","COL",-0.0078006053517106,-0.00057502805002658,-0.0603598731728969,0.0668388488421913,0.0181958269731596,0.663498780017572,0.0639553635021234,0.00974097884215169,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"COL03","COL",-0.0104221059427867,0.0218827070228264,0.0302332914569859,0.0259006903706865,0.0217073390699377,0.708489202885803,-0.0529087071868178,-0.00642471555185435,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"COL04","COL",0.028226516995807,0.000661210018456107,0.0113930813260243,-0.00544755326535951,0.000413570225995724,0.718270125699234,0.0244792809167294,-0.0154905893281278,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"COL05","COL",0.0307998488174732,-0.0106867486670856,0.00586202985645598,0.0213635507816323,-0.0106075795408457,0.718784492996991,-0.0201406066857228,0.00581375195094212,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"COL06","COL",-0.0300597759476561,-0.00953009646964059,-0.0194459014477464,-0.0484289984373212,0.0418666368906942,0.536927261940724,0.0176077441356547,0.0627239602341795,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"NUM01","NUM",0.0172280198322068,0.740183442288872,-0.000237389792562716,0.0305172869007848,0.0111298877595937,0.0232457846411317,-0.0258092789880325,0.00138816968020237,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"NUM02","NUM",0.00640042495344592,0.63666428884145,-0.0326779093818326,0.0196660480158356,-0.0124637202913236,-0.00236447936695353,0.0384756657888992,-0.0158298546498773,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"NUM03","NUM",-0.0615914274751694,0.634977026295787,0.0117766395714765,-0.00850772185508016,0.0094263939477337,0.0272356944037082,-0.00195464854009252,0.0208967509536424,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
