"variable","dimension","loading","sd_erreur","variance_erreur","difficulte","decalage_dimension","seuil_1","seuil_2","seuil_3","seuil_4"
"EXP01","EXP",0.500273941131309,0.903944281649137,0.817115264326174,-0.269787630322389,-0.25,-1.80312237462494,-0.849966618255712,-0.154877635161392,0.713539430475794
"EXP02","EXP",0.756625375873409,0.650227557340966,0.4227958763256,0.038729350711219,-0.25,-1.45405205788556,-0.615103740501217,0.1009475937346,0.936265500611626
"EXP03","EXP",0.551852323440835,0.80228971107823,0.643668780501989,0.322487666876987,-0.25,-1.04533021105453,-0.322637765668333,0.513504932634532,1.19374324786477
"EXP04","EXP",0.507855406147428,0.88147031862526,0.776989922617318,0.26132499598898,-0.25,-1.25979767707176,-0.357507093669847,0.328642572555691,1.30068293167278
"EXP05","EXP",0.68522556477692,0.742745596459081,0.551671021059356,0.199607685860246,-0.25,-1.31156865875237,-0.438689566217363,0.302995183086023,1.08286536890082
"EXP06","EXP",0.507152346009389,0.888150361569771,0.788811064756515,-0.0765729731880128,-0.25,-1.60716934059747,-0.614923794008791,0.127785535668954,0.817355565261096
"DIF01","DIF",0.541904316213913,0.819969108242284,0.672349338471646,-0.0380281878868118,0.05,-1.08893920297269,-0.382760965707712,0.457089250325225,1.15318404214922
"DIF02","DIF",0.730811006319709,0.641786537512254,0.411889959731968,0.12218539302703,0.05,-0.956815945752896,-0.215762897464447,0.547626233589836,1.3170542011736
"DIF03","DIF",0.765987248136662,0.614733081214386,0.377896761139333,0.297824507998303,0.05,-0.757006669556722,-0.086364830704406,0.687336764810607,1.46388061931357
"DIF04","DIF",0.627914219000377,0.830384521690333,0.689538453862884,0.275604410422966,0.05,-0.815716751664877,-0.0406174867879599,0.731255376152694,1.50844558174722
"DIF05","DIF",0.719733512704261,0.704201318919738,0.495899497568298,0.345367723936215,0.05,-0.761114129563793,0.114345336938277,0.814407630264759,1.55602459134534
"DIF06","DIF",0.588026374322362,0.749233840251916,0.561351347378634,-0.0725709032034502,0.05,-1.30797795851249,-0.449594741989858,0.38439562774729,1.18206511393655
"EVA01","EVA",0.635722880112007,0.763737584309622,0.583295097687097,0.317837814404629,-0.15,-0.947504366119392,-0.135818930878304,0.524180013895966,1.32852476879489
"EVA02","EVA",0.652356733288616,0.737323435197685,0.543645848091715,-0.21274235509336,-0.15,-1.57106730202213,-0.744507428072393,-0.0461089414078742,0.844260891107842
"EVA03","EVA",0.570672429259866,0.796159749649481,0.633870346961924,-0.205638170335442,-0.15,-1.58840862493962,-0.737990825809538,0.131008944101632,0.881744229746982
"EVA04","EVA",0.599872251809575,0.804707540162986,0.647554225195163,-0.265260148397647,-0.15,-1.55719245180953,-0.839401567191817,-0.0606564219808206,0.883437687181868
"EVA05","EVA",0.661482726084068,0.682035321460159,0.465172179719263,-0.0456290211295709,-0.15,-1.47134197957348,-0.521740753087215,0.284571444871835,0.97143233648967
"EVA06","EVA",0.53150940714404,0.769627846578808,0.592327022229533,-0.233093678345904,-0.15,-1.63763090549037,-0.638632202008739,-0.0368800214491784,0.781561390031129
"GCL01","GCL",0.671051459037699,0.68119768411074,0.464030284837835,-0.304207822540775,-0.35,-1.76282016313635,-1.00901364823803,-0.160601380374283,0.586675293557346
"GCL02","GCL",0.795042028767057,0.592076227737377,0.350554259451722,-0.12604729749728,-0.35,-1.61783444767352,-0.855608662241139,-0.0769520366797223,0.794222737452947
"GCL03","GCL",0.552311044675298,0.792258695609465,0.627673840768811,-0.0866745401872322,-0.35,-1.58003026659135,-0.738455677148886,-0.123959316941909,0.747927930229343
"GCL04","GCL",0.689891179278493,0.784304573739944,0.615133664389396,-0.00995061895810068,-0.35,-1.46668304861523,-0.720378335239366,0.0914165236521513,0.859693310828879
