"parametre","position","valeur","type","source","avertissement"
"projet.nom",1,"DEPP_B4_Pratiques_Enseignantes","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"projet.avertissement",1,"Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants.","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"echantillon.taille",1,"2000","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"echantillon.graine",1,"20260910","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"echantillon.sortie",1,"data/simulated/echantillon_initial.rds","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"echantillon.allocation.P1_PUBLIC_HEP",1,"620","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"echantillon.allocation.P1_PUBLIC_REP",1,"130","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"echantillon.allocation.P1_PUBLIC_REPPLUS",1,"100","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"echantillon.allocation.P1_PRIVE",1,"150","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"echantillon.allocation.COL_PUBLIC_HEP",1,"600","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"echantillon.allocation.COL_PUBLIC_REP",1,"150","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"echantillon.allocation.COL_PUBLIC_REPPLUS",1,"100","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"echantillon.allocation.COL_PRIVE",1,"150","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"non_reponse.graine",1,"20260912","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"non_reponse.taux_reponse_attendu",1,"0.75","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"non_reponse.sortie_complete",1,"data/simulated/echantillon_nonreponse.rds","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"non_reponse.sortie_repondants",1,"data/simulated/repondants.rds","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"non_reponse.coefficients.college",1,"-0.2","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"non_reponse.coefficients.prive",1,"-0.15","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"non_reponse.coefficients.rep",1,"-0.15","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"non_reponse.coefficients.repplus",1,"-0.3","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"non_reponse.coefficients.formation_par_5_jours",1,"0.25","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"non_reponse.coefficients.equipement_bon",1,"0.15","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"non_reponse.coefficients.anciennete_par_10_ans",1,"-0.08","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"non_reponse.coefficients.effectif_par_5_eleves",1,"-0.15","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"dimensions_latentes.graine",1,"20260911","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"dimensions_latentes.population_reference",1,"repondants_simules","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"dimensions_latentes.sortie",1,"data/simulated/traits_latents_repondants.rds","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"dimensions_latentes.dimensions",1,"EXP","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"dimensions_latentes.dimensions",2,"DIF","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"dimensions_latentes.dimensions",3,"EVA","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"dimensions_latentes.dimensions",4,"GCL","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"dimensions_latentes.dimensions",5,"COL","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"dimensions_latentes.dimensions",6,"NUM","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"dimensions_latentes.dimensions",7,"DEV","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"dimensions_latentes.dimensions",8,"REL","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"dimensions_latentes.correlation_commune",1,"0.2","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"dimensions_latentes.correlations_specifiques.EXP_EVA",1,"0.45","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"dimensions_latentes.correlations_specifiques.DIF_EVA",1,"0.4","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"dimensions_latentes.correlations_specifiques.DIF_DEV",1,"0.4","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
