"ordre","variable","bloc","dimension"
1,"EXP01","PRATIQUES","EXP"
2,"EXP02","PRATIQUES","EXP"
3,"EXP03","PRATIQUES","EXP"
4,"EXP04","PRATIQUES","EXP"
5,"EXP05","PRATIQUES","EXP"
6,"EXP06","PRATIQUES","EXP"
7,"DIF01","PRATIQUES","DIF"
8,"DIF02","PRATIQUES","DIF"
9,"DIF03","PRATIQUES","DIF"
10,"DIF04","PRATIQUES","DIF"
11,"DIF05","PRATIQUES","DIF"
12,"DIF06","PRATIQUES","DIF"
13,"EVA01","PRATIQUES","EVA"
14,"EVA02","PRATIQUES","EVA"
15,"EVA03","PRATIQUES","EVA"
16,"EVA04","PRATIQUES","EVA"
17,"EVA05","PRATIQUES","EVA"
18,"EVA06","PRATIQUES","EVA"
19,"CTRL01","CONTROLE","AUCUNE"
20,"GCL01","PRATIQUES","GCL"
21,"GCL02","PRATIQUES","GCL"
22,"GCL03","PRATIQUES","GCL"
23,"GCL04","PRATIQUES","GCL"
24,"GCL05","PRATIQUES","GCL"
25,"GCL06","PRATIQUES","GCL"
26,"COL01","PRATIQUES","COL"
27,"COL02","PRATIQUES","COL"
28,"COL03","PRATIQUES","COL"
29,"COL04","PRATIQUES","COL"
30,"COL05","PRATIQUES","COL"
31,"COL06","PRATIQUES","COL"
32,"NUM01","PRATIQUES","NUM"
33,"NUM02","PRATIQUES","NUM"
34,"NUM03","PRATIQUES","NUM"
35,"NUM04","PRATIQUES","NUM"
36,"NUM05","PRATIQUES","NUM"
37,"NUM06","PRATIQUES","NUM"
38,"CTRL02","CONTROLE","AUCUNE"
39,"DEV01","PRATIQUES","DEV"
40,"DEV02","PRATIQUES","DEV"
41,"DEV03","PRATIQUES","DEV"
42,"DEV04","PRATIQUES","DEV"
43,"DEV05","PRATIQUES","DEV"
44,"DEV06","PRATIQUES","DEV"
45,"REL01","PRATIQUES","REL"
46,"REL02","PRATIQUES","REL"
47,"REL03","PRATIQUES","REL"
48,"REL04","PRATIQUES","REL"
49,"REL05","PRATIQUES","REL"
50,"REL06","PRATIQUES","REL"
51,"FAIS_EXP","FAISABILITE","EXP"
52,"FAIS_DIF","FAISABILITE","DIF"
53,"FAIS_EVA","FAISABILITE","EVA"
54,"FAIS_GCL","FAISABILITE","GCL"
55,"FAIS_COL","FAISABILITE","COL"
56,"FAIS_NUM","FAISABILITE","NUM"
57,"FAIS_DEV","FAISABILITE","DEV"
58,"FAIS_REL","FAISABILITE","REL"
59,"PRIO_EXP","PRIORITE","EXP"
60,"PRIO_DIF","PRIORITE","DIF"
61,"PRIO_EVA","PRIORITE","EVA"
62,"PRIO_GCL","PRIORITE","GCL"
63,"PRIO_COL","PRIORITE","COL"
64,"PRIO_NUM","PRIORITE","NUM"
65,"PRIO_DEV","PRIORITE","DEV"
66,"PRIO_REL","PRIORITE","REL"
67,"CTRL03","CONTROLE","AUCUNE"
68,"CTRL04","CONTROLE","AUCUNE"
